"MTU","Out Area","In Area","Physical Flow (MW)"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|BE","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|BE","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|CH","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|CH","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|DE-LU","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|DE-LU","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|ES","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|ES","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|GB","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|GB","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|GB(ElecLink)","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|GB(ElecLink)","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|GB(IFA)","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|GB(IFA)","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|GB(IFA2)","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|GB(IFA2)","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|IT-North","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|IT-North","BZN|FR","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","BZN|IT-North-FR","BZN|FR","n/e"
