"MTU","Out Area","In Area","Physical Flow (MW)"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|GB","4008.62"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|GB(ElecLink)","969.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|GB(IFA)","2024.85"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|GB(IFA2)","1014.77"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|IT-North","2471.87"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|BE","1320.26"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|CH","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|CH","BZN|FR","202.52"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|DE-LU","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|DE-LU","BZN|FR","1136.49"
