"Instance Code","Affected Areas","Asset Name","Asset Code","Type","Status","Reason","Comment","Time Interval (CET/CEST)","New NTC (MW)","Affected Asset Code","Affected Asset Type","Affected Asset Name","Affected Asset Location"
"72RKjB4lIouK2SMc-jKYFQ","FR (BZN, CTA); DE(Amprion) (CTA)","Hüllen West","11T0-0000-0651-C","AC Link","Withdrawn planned","Complementary Information","miscellaneous","","","","","",""
"72RKjB4lIouK2SMc-jKYFQ","FR (BZN, CTA); DE(Amprion) (CTA)","Hüllen West","11T0-0000-0651-C","AC Link","Withdrawn planned","","","10/08/2026 07:00 - 02/10/2026 17:00","","","","",""
"72RKjB4lIouK2SMc-jKYFQ","FR (BZN, CTA); DE(Amprion) (CTA)","Hüllen West","11T0-0000-0651-C","AC Link","Withdrawn planned","","","","","11T0-0000-0651-C","AC Link","Hüllen West","Hüllen; Eiberg"
