"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"28/08/2026 18:15 - 28/08/2026 18:30","Germany (DE)","-","53760.44"
"28/08/2026 18:30 - 28/08/2026 18:45","Germany (DE)","-","53956.69"
"28/08/2026 18:45 - 28/08/2026 19:00","Germany (DE)","-","53883.47"
"28/08/2026 19:00 - 28/08/2026 19:15","Germany (DE)","-","53886.53"
"28/08/2026 19:15 - 28/08/2026 19:30","Germany (DE)","-","53711.83"
"28/08/2026 19:30 - 28/08/2026 19:45","Germany (DE)","-","53469.98"
"28/08/2026 19:45 - 28/08/2026 20:00","Germany (DE)","-","53193.09"
"28/08/2026 20:00 - 28/08/2026 20:15","Germany (DE)","-","52737.01"
"28/08/2026 20:15 - 28/08/2026 20:30","Germany (DE)","-","52162.10"
"28/08/2026 20:30 - 28/08/2026 20:45","Germany (DE)","-","51708.57"
"28/08/2026 20:45 - 28/08/2026 21:00","Germany (DE)","-","51396.56"
"28/08/2026 21:00 - 28/08/2026 21:15","Germany (DE)","-","50508.21"
"28/08/2026 21:15 - 28/08/2026 21:30","Germany (DE)","-","49727.09"
"28/08/2026 21:30 - 28/08/2026 21:45","Germany (DE)","-","49023.84"
"28/08/2026 21:45 - 28/08/2026 22:00","Germany (DE)","-","48333.43"
"28/08/2026 22:00 - 28/08/2026 22:15","Germany (DE)","-","47606.66"
"28/08/2026 22:15 - 28/08/2026 22:30","Germany (DE)","-","46748.12"
"28/08/2026 22:30 - 28/08/2026 22:45","Germany (DE)","-","45990.33"
"28/08/2026 22:45 - 28/08/2026 23:00","Germany (DE)","-","45186.38"
"28/08/2026 23:00 - 28/08/2026 23:15","Germany (DE)","-","44123.28"
"28/08/2026 23:15 - 28/08/2026 23:30","Germany (DE)","-","43289.78"
"28/08/2026 23:30 - 28/08/2026 23:45","Germany (DE)","-","42617.97"
"28/08/2026 23:45 - 29/08/2026 00:00","Germany (DE)","-","41971.85"
