"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"28/08/2026 20:45:00 - 28/08/2026 21:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 21:00:00 - 28/08/2026 21:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 21:15:00 - 28/08/2026 21:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 21:30:00 - 28/08/2026 21:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 21:45:00 - 28/08/2026 22:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 22:00:00 - 28/08/2026 22:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 22:15:00 - 28/08/2026 22:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 22:30:00 - 28/08/2026 22:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 22:45:00 - 28/08/2026 23:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 23:00:00 - 28/08/2026 23:15:00","BZN|IT-South","Biomass","-"
"28/08/2026 23:15:00 - 28/08/2026 23:30:00","BZN|IT-South","Biomass","-"
"28/08/2026 23:30:00 - 28/08/2026 23:45:00","BZN|IT-South","Biomass","-"
"28/08/2026 23:45:00 - 29/08/2026 00:00:00","BZN|IT-South","Biomass","-"
"28/08/2026 00:00:00 - 28/08/2026 00:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 00:15:00 - 28/08/2026 00:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 00:30:00 - 28/08/2026 00:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 00:45:00 - 28/08/2026 01:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 01:00:00 - 28/08/2026 01:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 01:15:00 - 28/08/2026 01:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 01:30:00 - 28/08/2026 01:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 01:45:00 - 28/08/2026 02:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 02:00:00 - 28/08/2026 02:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 02:15:00 - 28/08/2026 02:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 02:30:00 - 28/08/2026 02:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 02:45:00 - 28/08/2026 03:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 03:00:00 - 28/08/2026 03:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 03:15:00 - 28/08/2026 03:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 03:30:00 - 28/08/2026 03:45:00","BZN|IT-South","Energy storage","n/e"
